as-set,descr,members,mnt-by,last-modified,source,AS_count,cone,class
as-novoserve-customers,mtxconnect-singaporenetwork,"as12679,as13136,as39752,as42233,as44912,as48266,as49716,as51447,as61069,as64286,as136175,as139789,as141759,as142019,as199458,as200113,as200131,as200181,as201949,as202335,as202580,as202602,as202614,as202786,as202992,as203436,as204535,as204601,as205361,as206293,as207967,as208949,as208959,as209051,as209493,as210122,as210531,as210636,as210846,as211238,as211760,as212025,as212042,as212411,as212836,as213167,as-hybula,as-squitter",nl-novoserve-1-mnt,03-05-2023,ripe,48,58,0
as-helinet-upstream-v6,thefollowingasesprovideipv6bgpfulltable,"as5539,as6936,as13030,as39138,as286,as2914",as12355-mnt,13-09-2018,ripe,6,6,0
as-sidn-peers-rix-v6,ams-ixmumrouteserver(24193)ipv6announcements,as43339,sidn-mnt,26-07-2018,ripe,1,1,0
as8308:as-peerings:as9141,(upc-wix),as-aortapl,as8308-mnt,26-07-2005,ripe,1,1058,1
as-patientsky,patientskyhosting,"as201895,as50033",dk-patientsky-1-mnt,29-07-2016,ripe,2,2,0
as-rts,rtstransit,as48340,rzt-mnt,07-12-2015,ripe,1,1,1
as-argocom-downstream,byaddingtheirastothisas-setadministratorsofanyasasxxxxx(maintainedintheriperoutingregistry)canindicatetoas3320thatitshouldacceptblackholingrequestsforaddressspacecoveredbyriperegisteredrouteswithorigin:asxxxxxfromas42473anexianetwork,as197218,mnt-argocom,18-08-2016,ripe,1,1,1
as-alternetwork,altercomjscasmacro,"as50035,as49828",alternet-mnt,07-04-2011,ripe,2,2,0
as-united,unitedua-customersases,"as24703,as6768,as8788,as20733,as25236,as25526,as29491,as31247,as34792,as43332,as48845,as49038,as49227,as49445,as58032,as196864,as198152,as202302,as204715,as207488,as213159,as-deltax,as-homeua,as-komtelua,as-ollie,as-td-ua",un-ukraine-mnt,21-09-2022,ripe,26,209,0
as1299:as-twelve99-ap-v4,"arelion,twelve99,f/k/ateliacarrier","as1299,as-4628,as-4761,as-4788,as-7552,as-9268arcstar,as-9381,as-10099,as-14061,as-17444-transit,as-45558,as-45629,as-45903,as-55805,as-58463,as-58682,as-58715,as-59318-as-kh,as-132132-transit,as-132876,as-135375,as-139628-transit,as-140224,as-aamra-atl-bd,as-akamai,as-amazon,as-anexia,as-anspl,as-aofei-intl,as-as12008,as-baffin,as-bigo-10122,as-bps,as-capitalonlinedata,as-catonetworks,as-cdn77,as-cfh,as-choopa,as-cloudflare,as-colo-au,as-constant,as-continent8,as-cpul,as-cybergate-bd,as-ddos-guard,as-diyixian,as-dsv,as-dtp,as-ebaymtbb,as-equinix-ap,as-equinix-apac,as-etpi,as-expereo,as-facebook,as-fastly,as-fiberstar,as-fibrecomm-my-ipt,as-flagp,as-fpt,as-gcore,as-gdg-dns,as-glbb-transit,as-google,as-gtld,as-hanoitelecom,as-here,as-hkbn,as-hsp,as-iij,as-imdc,as-incapsula,as-index-exchange,as-iptransit,as-kdp,as-laotel,as-leaseweb-apac,as-link11-ra,as-lintasarta-nap,as-llnw,as-lroot,as-m1net,as-m21,as-meebo,as-microsoft,as-moodys,as-napcbn,as-nbp,as-nct,as-neocomisp-kh,as-netnod,as-netplace,as-nflx,as-nsfocus,as-nsone,as-onecubit,as-packet,as-path,as-paypal,as-pch,as-phoenixnap,as-playonline,as-pldt,as-prole,as-radius-ph,as-rapidscale-all,as-retarus,as-rjil-ild-in,as-rwts-ds,as-sbs,as-serverscom,as-set-59268-transit,as-set-ipserverone,as-set-telbru-apnic,as-siap-nap,as-simcentric-hkg,as-skbroadband,as-skycable,as-slt-global,as-smaid,as-softnet-hk,as-square,as-starhubinternet,as-stormwall-set,as-superloop,as-swissnet,as-tashicell,as-telcotech-ltd-kh,as-telenor-connexion,as-tgw,as-thix,as-tig-group,as-tiggee,as-tokai,as-tpg,as-tpisp,as-transit-globe,as-transit-netnam,as-tremor-set4,as-twitter,as-unbelievable,as-unitas,as-upcloud,as-vectant,as-wedos-anycast,as-wicam-kh,as-wikimedia,as4538,as4773,as4817,as-tpg-sg,as6774,as-bics-transit,as7632,as-linknet,as7713,as-telkom-transit,as9498,as-bharti-in,as9583,as-sify,as10089,as-customers,as10111,as10138,as10226,as-customers,as13524,as14593,as-sx-starlink,as17494,as-customers,as17639,as-customers,as18126,as23930,as-ipvg,as24202,as30761,as32575,as33597,as38040,as-peers,as38047,as-all,as38235,as-mekongnet-kh,as38496,as-set-cni,as38623,as45147,as-napinfo-ipt,as45498,as-smart-axiata-kh,as45543,as-ds,as45896,as-ds,as53334,as53855,as54994,as-all,as55293,as-a2hosting,as55685,as-jlm-id,as55769,as-132025,as55944,as-customers,as56252,as-set-inap-as-id,as56308,as-telin-net-sg-transit,as59278,as59325,as-customers,as63834,as63927,as-customers,as131429,as132134,as133385,as-customers,as136119,as-set-balifiber,as136468,as136838,as-bitek-nap-id,as136907,as136933,as-gigabitbank-hk,as137366,as-ifortenap,as137831,as-all,as139057,as139831,as140627,as-oq,as141235,as141995,as-all,as150347,as394353,as395359",twelve99-irr-mnt,25-05-2023,ripe,245,14125,0
as-metronetuk,metronet(uk)ltdt/am24seven,"as-venusbc,as42973,as48639,as50053,as34931,as198079,as44037,as56767,as198801,as51059,as11528,as201536,as201493,as59778,as5587,as29309,as34934,as12075,as8669,as20952,as205892,as205337,as206614,as15622,as206614,as203898,as209198,as209609,as200660,as208802,as212807,as211855,as201854",mnt-manchestermetronet,30-06-2022,ripe,33,39,0
as-hostbaltic,sibintek-samaraas-set,"as133398,as209605,as208554,as208393,as210171,as207651,as131659,as211872,as48721,as211760",mnt-lt-hostbaltic-1,04-05-2023,ripe,10,10,0
as-60670-transit,datacenta,"as60670,as206626,as50468,as60015,as196745",wfm-mnt,17-10-2022,ripe,5,5,0
as39533:as-set:as208122,,"as208122,as-rob-parker",hu-asympto-1-mnt,28-05-2020,ripe,2,1,1
as-respina,respinaasanditspeers,"as42337,as198341,as201871,as8868,as59912,as211081,as200530,as43211,as47350,as204650,as50057,as208742,as34412,as61173,as212161,as203392,as56547,as43415,as51241,as208560,as60932,as41881,as25124,as51618,as59506,as57218,as60605,as51235,as64460,as44841,as60627,as200312,as43395,as62367,as202340,as205207,as56375,as202368,as205176,as49103,as200370,as56466,as12660,as51541,as202251,as35043,as48147,as209462,as200796,as58224,as205588,as204904,as62265,as48658,as205894,as201937,as48674,as43211,as205643,as43343,as204812,as204834,as56796,as198357,as206692,as64413,as-sefroyek,as201150,as-shahrad,as-arian,as50795,as51732,as52070,as64436,as51274,as58085,as62284,as39074,as60627,as58626,as201999,as47990,as201259,as260256,as48359,as51119,as59708,as58303,as57625,as21419,as48944,as56616,as44498,as35088,as51785,as62250,as44045,as15696,as48309,as5484,as51355,as49936,as49906,as43657,as49796,as62173,as47796,as41900,as58080,as62263,as47817,as51632,as42867,as48762,as49433,as203616,as48787,as60512,as-iranian,as50259,as43212,as49847,as42915,as49760,as50558,as58249,as44609,as49100,as41797,as43510,as51431,as43135,as50160,as13231,as60407,as42337,as42337,as51759,as59431,as58333,as31182,as52196,as42907,as60248,as6736,as58167,as47796,as57816,as58267,as65006,as49970,as204393,as49148,as58121,as3177,as5484,as59691,as58169,as57745,as62039,as48555,as60811,as57241,as61176,as50733,as24631,as41689,as61055,as47843,as50810,as34513,as16018,as50591,as64460,as44208,as60345,as62157,as-pasargad,as62318,as60340,as206217,as60014,as50558,as59961,as59838,as59797,as59757,as201691,as50692,as62265,as50855,as48274,as-lotus,as60084,as57357,as56749,as50673,as59501,as42043,as42468,as204781,as35615,as35690,as201442,as201227,as44691,as201830,as62229,as59962,as60138,as25158,as197343,as51469,as15828,as47554,as15402,as31175,as48281,as60935,as200436,as59587,as59884,as57461,as61250,as9147,as51130,as202762,as16320,as208651,as59506,as202391,as209079,as21341,as204813,as61362,as212476,as204686,as212907,as212036,as212978,as207409,as212036",mnt-rspn,01-06-2023,ripe,242,239,0
as207781:as-mcl,smolnetwork-downstreamas-set,as207781,mnt-mcl,22-03-2023,ripe,1,1,0
as-frankchang,as-setatomdata-centerxelent,as211042,frankchang-mnt,13-07-2021,ripe,1,1,0
as-lihas,as209459abr-arvan,as208236,mnt-de-lihas-1,01-11-2019,ripe,1,1,0
as-gf,globalfoundries,as49081,mnt-gf,02-10-2009,ripe,1,1,1
as-set-linkintel,as-setforlinkintelnetwork,"as47655,as47645,as44881,as204237",mnt-linkintel,03-08-2018,ripe,4,4,0
as-krasnodar,"jsc""er-telecomholding""krasnodarbranch","as9049,as12772,as34150,as206011,as211609,as43886,as204720",erth-magistr,01-02-2023,ripe,7,7,0
as-uag,uagroup,"as206907,as42546,as57442,as39848,as204927,as211195",uag-mnt,19-07-2021,ripe,6,6,0
as-dmedk,dme.dk,as204425,dk-dme-1-mnt,14-03-2018,ripe,1,1,0
as20545:as-local-peers,grenalocalexchangepeers,"as21214,as34666,as34797,as16106,as16010",grena-mnt,19-05-2016,ripe,5,5,0
as-globalbyte,aschepotrannoattraversarelaretefontel,as209533,ch-ifog-1-mnt,12-10-2019,ripe,1,1,0
as8308:as-customers:as201202,anegissp.zo.o.,as201202,as8308-mnt,09-01-2015,ripe,1,1,1
as-stkix,transit&localassofsoft-troniktoix,"as13053,as20873,as41260,as13249,as35050,as21432,as42600",as13053-mnt,12-04-2007,ripe,7,7,0
as199765:as-hostaris,downstream,"as206125,as199765,as203458",timlab-mnt,03-03-2023,ripe,3,3,0
as-deffayet,nicolasdeffayet,as50370,deffayet-mnt,04-06-2018,ripe,1,1,0
as39873:as-rzeszow-com-pionier-tp,as'esannouncedbyrzeszow-comtopioniertpservice,"as39873,as47229,as199319",mnt-rmsk,03-06-2013,ripe,3,3,0
as-bluenetech-equinix-peers,listofas50620equinixpeers,"as112,as12041,as13030,as13193,as13335,as15169,as15422,as15826,as16276,as16509,as197422,as20940,as2200,as24115,as2486,as24990,as25593,as28855,as29169,as29513,as29608,as32934,as33835,as34019,as34177,as34997,as35393,as35625,as36408,as3856,as42,as42473,as42708,as43100,as43142,as44583,as4651,as47841,as48528,as48913,as49544,as50087,as50234,as50858,as50903,as51243,as55195,as5577,as57048,as59842,as65517,as6939,as714,as8554,as8784,as8839",bluenet-tech-noc,14-06-2020,ripe,56,56,0
as39369:as-customers-se,swedenregion,"as39369,as34537,as35699",port80-mnt,12-05-2006,ripe,3,3,1
as-4d-dc-customers,4ddatacentrespeeringcustomers,"as50300,as205106,as-4d-dc,as51926,as43408,as25546,as-custdc,as40142,as42044,as59933,as206976,as58040,as205106,as35241,as35456",mnt-4ddatacentres,27-06-2022,ripe,15,37,0
as-nwrk,newworkasset,as50343,nwrk-mnt,17-09-2019,ripe,1,1,0
as-skretka,asnroutedbyskretka,as198431,skr-mnt,22-08-2014,ripe,1,1,1
as3239:as-cust,andreannounceitstotheupstreams,"as8369,as31470,as28970,as30831,as28703,as39789,as8427,as42268,as43246,as48043,as48527,as47758,as41661,as21023,as24588,as47787,as34246,as12772,as24588",mfist-route-mnt,05-02-2021,ripe,19,18,0
