as-set,descr,members,mnt-by,last-modified,source,AS_count,cone,class
as-cablecom,http://www.upc.ch,"as8404,as1836,as5073,as5385,as8408,as8453,as8493,as8758,as8803,as9100,as9108,as12429,as12511,as12651,as13250,as15513,as15547,as15575,as15585,as15675,as15796,as15978,as16215,as16221,as16267,as20221,as20560,as20700,as20890,as20988,as21040,as21217,as21405,as21434,as21466,as24585,as24674,as24889,as24951,as25021,as25342,as25598,as25353,as25375,as28810,as28859,as28928,as29424,as29545,as30862,as30973,as31051,as31093,as31097,as31124,as31141,as31271,as31544,as31662,as31736,as33849,as34048,as34146,as34261,as34429,as34532,as34578,as35097,as35231,as35396,as35518,as35928,as38940,as39018,as39409,as39457,as39544,as39616,as39624,as41408,as41549,as41715,as42155,as42168,as42496,as42639,as42662,as42760,as43127,as43136,as43291,as43572,as44238,as44468,as44885,as44888,as47419,as47538,as47617,as48126,as48218,as48258,as48468,as48482,as48766,as48849,as48885,as49071,as49520,as49525,as49837,as49869,as50136,as50170,as50185,as50405,as50785,as50849,as51760,as51873,as51934,as52183,as56743,as57210,as57502,as57853,as57987,as59622,as59891,as60059,as60199,as60364,as61144,as64483,as196651,as196810,as197061,as197202,as197380,as197525,as197689,as197827,as197964,as197996,as198064,as198165,as198172,as198366,as198534,as198648,as198808,as198905,as199047,as199092,as199225,as199243,as199511,as199554,as199562,as199662,as199868,as200167,as200713,as200938,as201319,as201345,as201481,as201586,as202035,as202855,as203211,as203732,as203755,as213011,as-ymc,as206567,as206662,as207335,as209822,as210308,as211565,as-cernext,as-ch,as-cyberlink,as-datapark,as-ewb,as-ggamaur,as-ip-tech,as-knsurselva,as-nts,as-qnet-li,as-quicknet-interlaken,as-stepcom,as-supranet,as-teleport,as-telezug,as-wcp,as-swkn",as8404-mnt,02-03-2023,ripe,198,259,0
as-transroute-mnogobyte,nordlabas-set,"as5498,as6697,as6789,as8654,as12406,as13171,as15721,as20144,as25106,as25591,as28849,as31143,as33973,as33978,as34921,as35533,as35647,as38980,as39047,as39248,as41245,as41349,as41430,as41793,as42632,as42772,as43896,as43936,as44139,as44218,as44288,as44387,as44397,as47203,as47801,as47939,as48004,as48084,as48330,as48722,as49091,as49243,as49526,as49617,as49682,as50176,as50334,as50686,as50929,as50952,as51211,as51214,as51365,as51518,as51522,as56352,as56740,as56920,as57093,as57135,as57184,as57383,as57679,as57847,as57893,as57903,as59823,as60367,as60591,as60744,as60770,as60870,as61277,as62170,as62197,as62287,as196705,as197152,as197159,as197175,as197335,as198338,as198899,as199251,as199524,as199561,as200702,as201069,as201512,as201992,as202090,as202387,as203391,as203451,as203561,as204144,as204791,as205236,as205820,as206047,as206428,as207587,as207909,as208397,as209038,as209789,as211867,as212619,as213258,as213278",transroute-mnt,05-04-2021,ripe,110,110,0
as-ewetel,allasbelongingtoewetelandcustomers,"as9145,as-teleos,as7754,as-regiowave,as12923,as12936,as-htp,as13020,as13282,as-mittwald,as15790,as15779,as16148,as21032,as21355,as-consultix,as31186,as31438,as33810,as34372,as35242,as-teleos,as41587,as41814,as44817,as47826,as48543,as49086,as49651,as-omg,as50800,as50905,as51598,as-bcc,as-cewe,as-kdo,as8578,as196932,as198139,as211784,as9099,as62291,as199786,as-colocationix,as44163,as-hqs,as196962,as200931,as204147,as-rdt,as205764,as197803,as35061,as35062,as-uni-x,as200146,as202238,as207289,as207999,as9066",ewetel-mnt,27-04-2023,ripe,60,95,0
as-pyramix,as-hathostpropagatebyhathost,"as207740,as-amirgt,as209870,as211954,as138876,as206639,as207427,as212582,as24322,as42394,as44024,as137490,as-nc-customers,as139058,as-acandwitf-altdb,as203661,as207590,as-loclix,as208454,as-hostingstudio,as-hs-all,as209334,as211485,as211509,as211622,as-pwtsai,as211715,as211851,as212237,as-pxnet,as212268,as212514,as212895,as-vm-je,as213105,as-witschel,as213253,as-enpls,as213326,as-213326-peers,as213366,as38041,as-revo,as136918,as139589,as139882,as140731,as-tohunet,as140936,as141011,as208753,as211876,as-fixmixnet,as212008,as212756,as212767,as-sigfried,as213045,as-ded3l,as213092,as-marbleis,as213244,as-keatonaglair,as209309,as-iq-ix,as268707,as142419,as211604,as64114,as137509,as-samuel-ssh,as270034,as270034,as-customers",amirgt,12-12-2021,ripe,74,1131,0
as-crimea-ix,crimeaninternetexchangenetwork,"as43222,as-crelcom,as5593,as206448,as50042,as48330,as-cris,as44533,as-crimeainfocom,as-swift-trace,as41308,as-acsgroup,as59833,as47939,as44917,as-cristal-net,as58000,as35680,as198669,as47349,as-farline,as-myst,as-avanet,as-simfinet,as198293,as43822,as200420,as35381,as204259,as50949,as12408,as-webcom,as-realweb,as28761,as-customers,as-ardinvest,as43400,as-lancom,as-set-apex,as44387,as59823,as21030,as57679,as57899,as51214,as48004,as200922,as42975,as41269,as196665,as198293,as51211,as59808,as203139,as201069,as197152,as48086,as205515,as59744,as41227,as200702,as56587,as43936,as204161,as59823,as50654,as204144,as57093,as48195,as44533,as203561,as209789,as52052,as198338,as50140,as204791,as213258,as205236,as57903,as203451,as208701,as211382,as208456,as43400,as211245,as211867,as25591,as41430,as51092,as207353,as210756",crimea-mnt,19-12-2022,ripe,91,453,0
as57369:as-onix,asnsconnectedtotheonix(onix.cx),"as112,as835,as-gocodeit-all,as922,as923,as-hwsl,as924,as-cloudie,as959,as-ohanacraft,as1003,as-andrewnet,as6939,as-hurricane,as8674,as-netnod-anycast,as20473,as-constant,as23428,as-serverforge,as26930,as-easyvm,as30893,as-noackhosting,as34927,as-ifog-us,as40544,as-paradox,as40846,as44570,as-route48,as48581,as-mythicalkitten,as49286,as50391,as-divergent,as50755,as50755,as-sjohnson,as50842,as-serverforge,as51019,as51019,as-all,as52025,as52025,as-all,as52042,as52210,as-accuris,as54681,as-rtt,as57156,as-plxn,as57870,as-v6,as57974,as60310,as60310,as-nightfall,as60326,as-mrsheep,as60438,as60438,as-client,as-fremont,as60900,as63949,as-linode,as142551,as-razu-ap,as142632,as-nasulex-1,as149835,as-huajinet,as198734,as198734,as-bojin,as199177,as199177,as-korudo,as199514,as-rapdodge,as199518,as199518,as-gshapiro,as200160,as200160,as-set,as200182,as200182,as-set-noelware,as200219,as200219,as-pob,as200242,as200351,as200351,as-all,as200360,as200373,as200373,as-3xktech,as200455,as200455,as-all,as200570,as200572,as-wflare_ltd,as200690,as200731,as200775,as-epoxytel,as200866,as-guarandoo,as201217,as-radish,as201979,as202197,as-lab2,as202218,as-ridiehosting,as202427,as-filli,as202939,as-chimon,as203069,as-xzr,as203283,as-hen,as203333,as-jonasbusch,as203453,as-wflare_ltd,as203458,as203888,as-yu,as203967,as-atlt,as204340,as204438,as204446,as-hellomouse,as205329,as-muilties,as205432,as-william,as205794,as205794,as-set,as205848,as-dominik-pohl,as206493,as207556,as-serverforge,as207609,as-gct-v,as209533,as209533,as-bgptunnel,as209554,as209554,as-isif,as209870,as-optix,as209933,as209968,as210630,as210667,as-agtech,as211169,as212149,as-hwsl,as212232,as212276,as-slothnet,as212618,as213316,as-coconut,as213384,as398447,as-ohanacraft,as399580,as399580,as-radishnetworks,as399976,as-novanetworks,as400108",cloudie-mnt,01-06-2023,ripe,188,535,0
as12552:as-gcnet,as-gcnet(ripe)is.pleaseuseas-gcnet.,"as12552,as-abstract,as-alpit,as-binero,as-cgifinland,as-comendo,as-cygate,as-denet,as-datarymden,as-dt,as-forss,as-gavlenet,as-hanse,as-hi3g,as-hnet-ovan,as-hydro66,as-ibt,as-infracom,as-itaito,as-junet,as-lanassistans,as-localnetfi,as-manpower,as-missgroup,as-missgroup-customers,as-multifi,as-netcoil,as-nexthop,as-nttcomsec,as-onea,as-rackfish,as-riksnet,as-saldab,as-sandnet,as-set-dcf,as-sitic,as-sn,as-suomicom,as-teknikbyran,as-tripnet,as-web1,as-wetternet,as-wmdatase,as39194,as-all,as375,as1342,as2840,as3306,as3573,as5411,as9201,as10780,as12222,as12782,as12935,as16150,as16185,as16312,as19539,as20625,as21195,as21293,as25234,as25417,as28680,as28847,as28954,as29024,as31283,as31642,as33976,as34100,as35565,as35742,as38956,as38982,as39204,as39369,as39597,as39643,as39658,as41001,as41216,as42251,as42473,as42523,as42540,as42595,as43516,as43568,as43770,as44013,as44136,as44769,as47234,as48042,as48093,as48598,as48803,as48904,as49172,as49251,as49283,as49949,as50572,as50650,as50678,as51132,as51311,as51747,as51913,as54990,as56711,as56736,as56805,as56946,as56961,as57131,as57955,as59586,as60094,as60433,as61207,as61990,as62313,as62395,as197436,as197557,as197623,as197799,as197942,as198008,as198450,as198538,as199355,as199470,as199520,as199564,as199977,as200134,as200144,as200300,as200341,as200696,as200701,as200881,as201013,as201317,as201692,as201816,as201964,as202093,as202152,as202188,as202780,as202812,as202910,as202922,as202967,as203029,as203191,as203192,as203193,as203194,as203213,as203240,as203241,as203295,as203297,as203298,as203300,as203552,as203605,as203610,as203625,as203788,as203800,as203814,as203839,as204164,as204398,as204475,as204847,as204850,as205151,as205287,as205733,as205841,as206040,as206288,as206320,as206387,as206593,as206722,as206774,as206889,as207031,as207322,as207919,as207932,as208001,as208721,as208933,as209315,as209454,as210317,as210422,as211353,as211453,as211899,as395753,as35790,as204334,as35445,as202246,as205078,as48871,as197323,as48171,as-atos",ip-only-mnt,29-05-2023,ripe,221,680,1
as-ipartners,asnumbersadvertisedbygts-polska-astoforeignupstreams,"as-energispl,as-cdp,as-netassist,as-gts-ua,as-sferanet,as-tkk,as-perfekt-net,as-szaranet,as-multinet24,as12324,as12346,as12423,as12476,as12618,as12743,as12827,as12831,as12912,as12966,as12992,as199754,as13110,as13119,as13274,as15384,as56712,as198496,as15443,as15503,as15541,as15728,as15744,as47175,as15798,as15851,as15967,as44792,as8834,as197270,as16138,as16167,as16274,as16283,as16290,as16340,as20486,as20552,as20555,as20656,as203306,as5588,as20781,as20853,as20898,as20938,as203562,as21064,as198232,as21068,as21111,as21182,as21243,as21288,as24879,as24928,as34393,as42643,as30923,as25075,as25390,as25410,as25584,as28785,as28793,as21404,as21021,as15787,as15396,as5550,as5616,as6714,as8246,as8256,as8286,as8323,as8364,as8374,as8501,as8508,as8535,as8633,as8664,as8726,as8798,as8865,as8890,as8970,as9112,as20540,as13065,as29251,as29167,as42107,as15902,as29522,as25191,as29620,as29227,as29642,as29272,as29596,as30838,as16263,as25084,as15373,as30778,as24848,as28982,as30851,as29553,as8326,as31045,as30975,as201253,as31181,as31118,as8477,as29398,as21123,as31310,as29512,as31255,as31505,as31242,as16296,as31599,as31540,as34076,as34254,as42199,as42778,as15997,as16288,as24709,as25138,as44044,as31683,as20491,as33797,as197600,as31658,as20961,as20781,as33895,as33996,as31372,as31621,as34275,as34360,as34342,as33951,as33990,as31573,as34390,as34337,as31628,as34509,as31412,as34525,as31608,as8267,as34688,as198627,as31434,as34765,as34392,as34845,as34826,as202962,as28978,as29414,as30726,as34985,as35174,as31329,as35229,as35235,as35274,as34651,as35191,as12222,as34409,as29649,as34069,as35491,as35179,as34604,as35463,as35306,as16342,as34424,as59958,as24671,as35199,as13000,as35434,as34075,as8477,as39168,as35434,as31199,as39085,as34844,as30824,as15878,as39255,as28815,as29314,as39375,as39039,as39219,as39566,as34325,as41464,as35498,as39439,as39599,as8458,as39716,as39261,as34544,as31229,as39198,as41908,as41057,as39547,as32768,as41237,as41309,as41235,as41266,as34937,as33838,as41358,as41297,as35007,as41662,as41434,as39412,as202899,as29563,as33901,as35760,as41931,as25443,as41442,as41835,as31423,as41809,as41618,as29501,as29593,as42328,as41660,as25070,as42194,as42717,as42877,as42154,as42966,as42445,as41421,as42594,as34431,as41744,as198742,as41142,as43058,as41004,as43117,as42797,as43015,as41468,as38942,as42454,as31646,as43357,as43435,as28893,as41004,as201386,as43470,as43695,as28994,as31023,as197848,as39325,as43920,as43607,as43939,as34656,as201044,as43961,as43941,as44124,as33817,as16182,as19197,as39174,as43153,as44262,as44415,as41005,as2590,as41952,as44354,as50994,as42923,as44643,as44176,as44518,as44190,as43512,as43026,as39133,as47189,as47356,as198788,as47301,as31281,as47466,as47520,as42778,as41912,as41907,as39349,as207218,as47401,as47252,as44783,as41201,as47741,as30753,as44874,as41023,as43769,as31105,as15874,as60217,as42246,as43015,as47281,as48505,as205738,as35671,as47888,as20889,as201488,as60399,as47812,as48712,as48002,as60448,as204245,as48963,as47790,as48626,as49143,as49228,as49199,as49197,as49102,as35778,as42021,as49528,as31032,as49787,as42058,as49731,as199671,as24756,as49792,as31604,as21187,as198268,as5582,as28793,as30782,as42644,as196776,as39288,as43862,as49300,as15470,as39869,as30731,as48790,as34805,as42520,as42573,as48464,as59782,as196901,as50467,as50421,as50493,as196909,as47640,as50489,as44732,as43498,as61983,as203685,as47129,as50481,as197011,as50661,as42361,as196795,as196890,as50987,as196728,as196935,as41865,as50777,as50830,as51104,as33826,as43674,as47322,as51277,as39091,as197162,as51310,as43982,as197201,as197136,as51272,as51208,as50840,as30824,as197274,as206563,as196969,as6448,as12966,as197410,as30824,as48024,as197503,as51390,as197382,as197448,as52124,as42490,as197272,as48559,as49290,as52079,as51931,as197552,as52123,as197356,as25523,as197599,as43171,as197005,as48189,as197170,as50450,as197709,as197605,as51879,as34212,as44501,as56646,as56373,as56470,as197801,as196890,as197800,as34986,as41567,as198053,as6874,as48606,as56904,as9016,as41235,as29451,as49543,as197933,as197671,as197151,as39112,as197776,as197318,as12642,as48395,as43412,as56628,as197936,as38944,as197399,as48659,as50988,as49141,as198115,as57360,as42177,as31683,as197570,as198051,as198106,as29245,as197615,as47476,as57701,as198038,as29272,as197479,as51717,as204009,as199953,as198537,as196666,as197939,as57305,as198637,as198704,as201893,as198216,as206937,as206957,as197735,as41097,as35060,as35179,as43705,as30725,as198829,as198023,as6885,as198910,as41945,as49258,as197572,as198014,as50759,as41218,as58335,as198884,as198118,as29235,as49141,as49888,as57986,as198493,as57488,as198190,as38991,as198928,as198811,as199222,as199149,as41322,as41036,as197891,as199166,as198979,as206770,as197233,as197375,as198857,as59670,as198822,as198133,as12824,as199091,as200999,as44966,as48157,as61338,as199538,as49370,as199615,as51373,as197111,as197918,as199436,as57258,as21210,as43638,as35720,as199410,as25552,as49242,as43914,as196677,as60646,as197187,as198557,as200714,as48565,as60869,as197804,as60418,as197146,as199936,as197854,as25313,as197220,as198547,as199585,as61078,as200115,as200089,as200104,as51323,as62308,as41647,as60806,as198591,as43616,as34719,as57630,as15141,as202037,as60101,as34999,as60189,as199709,as198597,as6873,as44962,as198042,as201845,as59990,as199787,as199965,as201581,as44603,as201020,as201472,as198199,as203920,as201036,as56838,as60106,as197813,as200822,as35275,as21328,as198579,as204098,as198752,as203689,as34298,as34845,as41322,as35174,as9016,as197939,as41508,as198597,as34254,as198696,as39014,as50900,as204104,as203356,as198594,as203408,as52031,as48381,as200543,as198529,as206241,as48690,as58334,as59922,as49611,as20983,as43363,as205462,as205708,as206183,as198571,as52064,as199964,as197064,as199378,as197215,as60335,as62457,as60810,as35209,as42272,as197494,as197513,as8886,as47396,as25506,as197396,as201258,as207221,as30813,as35378,as200974,as204836,as43929,as205299,as204559,as199859,as202445,as204392,as196899,as197099,as207055,as206319,as57524,as201451,as26685,as60695,as202450,as199104,as200316,as203556,as47128,as210065,as204522,as202936,as201169,as209921,as201493,as48523,as43968,as42763,as205713,as200272,as209901,as209563,as36224,as200504,as45026,as210272,as48516,as49989,as131244,as36089,as43962,as197630,as208220,as208384,as49822,as201655,as208423,as208984,as208424,as34465,as207789,as207668,as208949,as31304,as60645,as60323,as197217,as207413,as207379,as203688,as203845,as207182,as35139,as207325,as59977,as198788,as16291,as213131,as198992,as213144,as14328,as207593,as48981,as39914,as48992,as204890,as60279,as212130,as206838,as211985,as198424,as211746,as205036,as39673,as43062,as15391,as196826,as202541,as35538,as211287,as21433,as204971,as211354,as211047,as210913,as56630,as210831,as49287,as50069,as30081,as197935,as34199,as210220,as30012,as203422,as198509,as52110,as206559,as206594,as59819,as50599,as42927,as207685,as42832,as43326,as47305,as197472,as39329,as200244,as199694,as199219,as29318",as8246-mnt,04-05-2023,ripe,832,2321,1
as3212:as-telemach,telemachslovenianetworkmembers,"as3212,as8727,as12644,as15889,as16477,as24747,as25017,as25020,as25034,as25059,as25066,as25467,as25499,as28682,as28984,as29121,as31042,as31060,as31134,as33929,as34367,as34488,as34631,as34717,as39320,as39727,as41543,as41828,as41970,as42613,as43128,as43164,as43427,as43663,as44549,as44667,as44823,as44993,as45002,as48016,as48653,as49015,as49402,as49593,as49754,as49853,as49896,as50344,as50634,as50815,as51143,as51565,as51790,as56513,as56635,as56993,as57127,as57291,as57517,as57554,as57623,as58056,as59834,as60435,as61067,as64465,as196846,as196895,as197045,as197391,as197441,as197536,as197579,as197791,as197806,as197907,as197944,as198061,as198524,as198827,as200440,as202442,as202840,as205405,as205714,as206804,as212597,as204771,as49593,as50249,as207318,as-sbb,as-telemach-bh,as-stelkom-cust,as-ario,as-xenya,as-telemach-hr",telemach-mnt,12-04-2023,ripe,97,988,1
as-ldcomnet,sfrnetworks/paneuropeanserviceprovider,"as15557,as-alliance-connectic,as-ariege-telecom,as-armorconnectic,as-capaix-connectic,as-cap-connexion,as-cegetel,as-connexia,as-completel,as-corioliscs,as-debitex-telecom,as-guadeloupe,as-haut-rhin-telecom,as-herault-telecom,as-keyyo,as-loiret_fibre,as-inolia,as-iris64,as-macs-thd,as-manche-telecom,as-medialys,as-memonet,as-midi-libre,as-moselle-telecom,as-numericable,as-set-srr,as-tel,as-teloise,as-voironnais-network,as-sfr-business-team,as3259,as3295,as3296,as3298,as3299,as3305,as12727,as12980,as13223,as20776,as29322,as29372,as29679,as34006,as34235,as34860,as34949,as35012,as35676,as38926,as39534,as39552,as41524,as41894,as42208,as42449,as42487,as44842,as45039,as47206,as47355,as47835,as48125,as48703,as49504,as49555,as49566,as56774,as57584,as60174,as60697,as61394,as197369,as198575,as198949,as199074,as199117,as199233,as202215,as202898,as204426,as205319,as205461,as205746,as205939,as207589,as207806,as207807,as207808,as207857,as208157,as208719,as209027,as210156,as210255,as212775",sfr-mnt,07-10-2022,ripe,96,127,0
as-ams-ix-rs,ams-ixnlrouteserveripv4peers,"as42,as109,as112,as293,as559,as1101,as1103,as1126,as1140,as1200,as1239,as1241,as1248,as1267,as1547,as1680,as1764,as1820,as1828,as2018,as2484,as2611,as2635,as2852,as2854,as2906,as3214,as3216,as3223,as3225,as3252,as3267,as3302,as3303,as3326,as3327,as3333,as3462,as3856,as4455,as4637,as4651,as4657,as4761,as4766,as4775,as4788,as4800,as5390,as5394,as5398,as5404,as5413,as5416,as5466,as5524,as5583,as5606,as5713,as6057,as6233,as6412,as6453,as6507,as6661,as6663,as6677,as6681,as6682,as6717,as6735,as6762,as6768,as6775,as6834,as6866,as6939,as7342,as7552,as7679,as7713,as7862,as8038,as8075,as8218,as8220,as8262,as8283,as8304,as8309,as8315,as8359,as8365,as8368,as8399,as8400,as8422,as8426,as8447,as8452,as8462,as8473,as8487,as8529,as8551,as8560,as8587,as8608,as8632,as8637,as8647,as8674,as8708,as8717,as8732,as8752,as8758,as8763,as8764,as8767,as8781,as8821,as8839,as8859,as8866,as8881,as8888,as8918,as8932,as8953,as9002,as9029,as9036,as9044,as9050,as9115,as9119,as9136,as9145,as9150,as9299,as9304,as9381,as9498,as9583,as9605,as10099,as10310,as11179,as12041,as12189,as12306,as12315,as12329,as12355,as12389,as12399,as12400,as12414,as12552,as12578,as12608,as12637,as12693,as12695,as12713,as12714,as12731,as12732,as12759,as12779,as12850,as12859,as12874,as12876,as12883,as12888,as12902,as12969,as12993,as13000,as13002,as13101,as13122,as13150,as13157,as13194,as13213,as13237,as13249,as13285,as13335,as13445,as13786,as13984,as14061,as14127,as14537,as14630,as14840,as14907,as15133,as15169,as15435,as15447,as15547,as15576,as15589,as15600,as15605,as15695,as15703,as15720,as15802,as15830,as15943,as15958,as15966,as15967,as16097,as16265,as16276,as16298,as16347,as16509,as16552,as16637,as17117,as17451,as17557,as17579,as17639,as18001,as18106,as19551,as19679,as19711,as20278,as20326,as20473,as20485,as20495,as20504,as20546,as20559,as20562,as20634,as20640,as20647,as20764,as20766,as20804,as20847,as20857,as20886,as20932,as20940,as20969,as21013,as21263,as21409,as21478,as21574,as21859,as22363,as22381,as22697,as23028,as23106,as23393,as23576,as23764,as23944,as24167,as24429,as24482,as24492,as24586,as24730,as24875,as24904,as24940,as24961,as25091,as25133,as25151,as25152,as25160,as25198,as25220,as25291,as25369,as25428,as25455,as25521,as25542,as25595,as25596,as25933,as26237,as26464,as26667,as28283,as28329,as28598,as28725,as28788,as28801,as28917,as29017,as29049,as29075,as29119,as29140,as29141,as29208,as29263,as29314,as29396,as29405,as29430,as29467,as29505,as29535,as29632,as29791,as29802,as30081,as30103,as30132,as30419,as30818,as30844,as30889,as30925,as31019,as31027,as31029,as31042,as31078,as31122,as31133,as31319,as31383,as31424,as31449,as31477,as31500,as31515,as31529,as31595,as31615,as31638,as31673,as32244,as32590,as32787,as32934,as33353,as33438,as33763,as33891,as33915,as33922,as33986,as34019,as34087,as34141,as34177,as34224,as34288,as34309,as34465,as34549,as34655,as34756,as34772,as34854,as34863,as34927,as34953,as34968,as34984,as35000,as35280,as35297,as35320,as35432,as35574,as35598,as35709,as35753,as35793,as36182,as36236,as36351,as36692,as36944,as36994,as37009,as37100,as37282,as37468,as37564,as37721,as38001,as38040,as38082,as38090,as38158,as38182,as38758,as38880,as38915,as38983,as39063,as39090,as39120,as39122,as39179,as39180,as39244,as39351,as39386,as39572,as39587,as39591,as39637,as39647,as39704,as39737,as39832,as39878,as39923,as40401,as40627,as40805,as40999,as41041,as41090,as41095,as41313,as41327,as41405,as41552,as41690,as41692,as41776,as41805,as41820,as41887,as41913,as41960,as42184,as42295,as42385,as42541,as42567,as42649,as42707,as42755,as42794,as42841,as42861,as42893,as42947,as43142,as43190,as43293,as43350,as43366,as43404,as43414,as43566,as43641,as43727,as43898,as43942,as43996,as44034,as44103,as44141,as44444,as44608,as44684,as44735,as44788,as44814,as44858,as44901,as45352,as45430,as45474,as45489,as45629,as45701,as45903,as46489,as46562,as46786,as46844,as47065,as47147,as47172,as47195,as47447,as47622,as47626,as47674,as47836,as47869,as47886,as47957,as47973,as48173,as48200,as48284,as48303,as48314,as48345,as48362,as48399,as48408,as48519,as48635,as48858,as48919,as48927,as49033,as49127,as49375,as49453,as49463,as49544,as49605,as49627,as49653,as49685,as49820,as49870,as49981,as50010,as50072,as50083,as50149,as50245,as50263,as50266,as50287,as50295,as50300,as50304,as50309,as50316,as50352,as50384,as50522,as50581,as50622,as50629,as50673,as50763,as50812,as50858,as50923,as51028,as51050,as51088,as51167,as51184,as51185,as51375,as51468,as51752,as52320,as52551,as53264,as53334,as54113,as54825,as54994,as55219,as55256,as55329,as55685,as55799,as55818,as56382,as56550,as56630,as56654,as56655,as56665,as56704,as56786,as56911,as57043,as57112,as57119,as57154,as57169,as57344,as57463,as57724,as57976,as58138,as58291,as58453,as58511,as58601,as58952,as59545,as59605,as59624,as59655,as59865,as59890,as59908,as59947,as60022,as60064,as60294,as60350,as60476,as60501,as60664,as60764,as60822,as60924,as61157,as61200,as61319,as61323,as61349,as61438,as61573,as61817,as61955,as62041,as62044,as62240,as62245,as62663,as62713,as62715,as62856,as62955,as63399,as63927,as64049,as64597,as65533,as132203,as132337,as132876,as133613,as135391,as136106,as136907,as137367,as137409,as137991,as138322,as196752,as196844,as196922,as196954,as197000,as197156,as197219,as197440,as197692,as197727,as197731,as197790,as197902,as197981,as198089,as198792,as198930,as198967,as199095,as199181,as199275,as199332,as199408,as199483,as199522,as199524,as199599,as199670,as199938,as199939,as199995,as200020,as200023,as200052,as200478,as200596,as200612,as200738,as200781,as201119,as201290,as201401,as201502,as201791,as201877,as201971,as202053,as202120,as202425,as202932,as202954,as203101,as203489,as203596,as203629,as203936,as204084,as204196,as204339,as204995,as205668,as205675,as205689,as205943,as206264,as206676,as207063,as207083,as207176,as207375,as207790,as208034,as208367,as208722,as208844,as209045,as209181,as209768,as210083,as211087,as211656,as211826,as212263,as212708,as213035,as213050,as213373,as262589,as263009,as265207,as267613,as328748,as328832,as396986,as396998",ams-ix-mnt,16-01-2023,ripe,758,758,0
as-forthnet,forthnetadvertisedases,"as1241,as6674,as8388,as8499,as9128,as13038,as13153,as15439,as15536,as15764,as15853,as16013,as20506,as21291,as24849,as28953,as29052,as29162,as29229,as29241,as30850,as34239,as34516,as34780,as35472,as35506,as39062,as41125,as42070,as42680,as43834,as44036,as44357,as48168,as48380,as48489,as50148,as51537,as51810,as197534,as197746,as198365,as199375,as199382,as200744,as201293,as202506,as203878,as206659,as206697,as209111,as208552,as200540,as56910,as3573,as208785,as42365,as206349,as207492,as57794,as34516,as25447,as34516,as60325,as206697,as204932,as213218",forthnetgr-mnt,09-01-2023,ripe,67,64,0
as-decix-dus-rs,"de-cixdus,theregionalinternetexchange","as42,as112,as250,as714,as1680,as1820,as3204,as3209,as3214,as3222,as3280,as3856,as6233,as6697,as6939,as8075,as8298,as8308,as8399,as8551,as8632,as8741,as8804,as8881,as9009,as9063,as9136,as12189,as12329,as12440,as12470,as12480,as12571,as12578,as12684,as12759,as12883,as12931,as12941,as13030,as13039,as13132,as13194,as13247,as13335,as14340,as15133,as15366,as15447,as15456,as15695,as15763,as16024,as16205,as16509,as16839,as17117,as18676,as19229,as19551,as20473,as20562,as20676,as20764,as20773,as20804,as20847,as20928,as20940,as21245,as21473,as24482,as24961,as25091,as25180,as25279,as25560,as28725,as28917,as29404,as30766,as31133,as31317,as32590,as32708,as32934,as33891,as33932,as34549,as34641,as34655,as34681,as34800,as34854,as34872,as34924,as34927,as34936,as35258,as35280,as35297,as35320,as35548,as35657,as35661,as35710,as35805,as38230,as39282,as39351,as39386,as39572,as39702,as39912,as41047,as41114,as41327,as41692,as41723,as41805,as42184,as42624,as42649,as42692,as42965,as42994,as43140,as43350,as43407,as43566,as43623,as43727,as44393,as45489,as46489,as46786,as47138,as47147,as47605,as47957,as48200,as48646,as48821,as48918,as48927,as49085,as49321,as49436,as49459,as49519,as49585,as49697,as50469,as50629,as51185,as51468,as51531,as52112,as54994,as56328,as56382,as56630,as56662,as56665,as56755,as56890,as56894,as56950,as57257,as57344,as57353,as57976,as58057,as58299,as58323,as58715,as59598,as59645,as59813,as60316,as60326,as60391,as60474,as60476,as60522,as60802,as60979,as61004,as61157,as61218,as61317,as61438,as62044,as62269,as62856,as62955,as63949,as64114,as64457,as64475,as131745,as137409,as138398,as139648,as139742,as139949,as147039,as196610,as196714,as196844,as196922,as196968,as197473,as197965,as198726,as199483,as199524,as199610,as199938,as200303,as200462,as200615,as200780,as201196,as201701,as201709,as202365,as202566,as202592,as203440,as203536,as204035,as204333,as204625,as204994,as205112,as205530,as205593,as205614,as206141,as206313,as206356,as206499,as206610,as206813,as206825,as207278,as207306,as207439,as207613,as207616,as207671,as207790,as207921,as208059,as208210,as208621,as208766,as208814,as209650,as209935,as210251,as210728,as210821,as210916,as211083,as211319,as211544,as211620,as212033,as212508,as212795,as212895,as212935,as213092,as213254,as393949",decix-mnt,02-06-2023,ripe,277,277,0
